Ecell/V	<I>/mA	Capacity/mA.h	cycle number	time/s	
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.100000099744648E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.110000100219622E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.120000100694597E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.130000101169571E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.140000101644546E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.150000102119520E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.160000102594495E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.170000103069469E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.180000103544444E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.190000104019418E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.200000104494393E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.210000104969367E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.220000105444342E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.230000105919316E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.240000106394291E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.250000106869265E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.260000107344240E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.270000107819214E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.280000108294189E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.290000108769163E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.300000109244138E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.310000109719113E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.320000110194087E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.330000110669062E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.340000111144036E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.350000111619011E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.360000112093985E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.370000112568960E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.380000113043934E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.390000113518909E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.400000113993883E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.410000114468858E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.420000114943832E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.430000115418807E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.440000115893781E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.450000116368756E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.460000116843730E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.470000117318705E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.480000117793679E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.490000118268654E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.500000118743628E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.510000119218603E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.520000119693577E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.530000120168552E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.540000120643526E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.550000121118501E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.560000121593475E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.570000122068450E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.580000122543424E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.590000123018399E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.600000123493373E+002
